tradition,reference,original_text,translation
Gita,1.13,"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ||१-१३||","After that, the conchshells, drums, bugles, trumpets and horns were all suddenly sounded, and the combined sound was tumultuous."
Gita,1.14,"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ||१-१४||","On the other side, both Lord Kṛṣṇa and Arjuna, stationed on a great chariot drawn by white horses, sounded their transcendental conchshells."
Gita,1.15,"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः |
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ||१-१५||","Lord Kṛṣṇa blew His conchshell, called Pāñcajanya; Arjuna blew his, the Devadatta; and Bhīma, the voracious eater and performer of herculean tasks, blew his terrific conchshell, called Pauṇḍra."
Gita,1.16,"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ||१-१६||",The King of the Kunti's sons (Yudhishthira) blew the conchshell called Ananta-vijaya; Nakula and Sahadeva blew the Sughosa and Manipuspaka.
Gita,1.17,"काश्यश्च परमेष्वासः शिखण्डी च महारथः |
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ||१-१७||","The great bowman, the mighty car-warrior, Kasya; the great car-warrior, the undefeated Shikhandi; Dhrishtadyumna and Virata; and the unconquered Satyaki."
Gita,1.18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ||१-१८||","The King of the earth, the King of Drupada; the sons of Draupadi, and the mighty armed son of Subhadra, each one of them also blew their respective conchshells."
Gita,1.19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् |
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् (or लोव्यनु) ||१-१९||","The blowing of these different conchshells became uproarious. Vibrating both in the sky and on the earth, it shattered the hearts of the sons of Dhṛtarāṣṭra."
Gita,1.20,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |
हृषीकेशं तदा वाक्यमिदमाह महीपते ||१-२०||","At that time Arjuna, the son of Pāṇḍu, seated in the chariot bearing the flag marked with Hanumān, took up his bow and prepared to shoot his arrows. O King, after looking at the sons of Dhṛtarāṣṭra drawn in military array, Arjuna then spoke to Lord Kṛṣṇa these words."
Gita,1.21,"अर्जुन उवाच |
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ||१-२१||","Arjuna said: O infallible one, please draw my chariot between the two armies so that I may see who is present here, who is desirous of fighting, and with whom I must contend in this great battle."
Gita,1.22,"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |
कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ||१-२२||","Let me see those who have come here to fight, wishing to please the evil-minded son of Dhritarashtra."
Gita,1.23,"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः |
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ||१-२३||","Let me see those who have come here to fight, wishing to please the evil-minded son of Dhṛtarāṣṭra."
Gita,1.24,"सञ्जय उवाच |
एवमुक्तो हृषीकेशो गुडाकेशेन भारत |
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ||१-२४||","Sañjaya said: O descendant of Bharata, having thus been addressed by Arjuna, Lord Kṛṣṇa drew up the fine chariot in the midst of the armies of both parties."
Gita,1.25,"भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ||१-२५||","In the presence of Bhīṣma, Droṇa and all the other chieftains of the world, the Lord said, “Just behold, Pārtha, all the Kurus assembled here.”"
Gita,1.26,"तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा ||१-२६||","There Arjuna could see, within the midst of the armies of both parties, his fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, friends, and also his fathers-in-law and well-wishers."
Gita,1.27,"श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |
तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ||१-२७||","When the son of Kuntī, Arjuna, saw all these different grades of friends and relatives, he became overwhelmed with compassion and spoke thus."
Gita,1.28,"कृपया परयाविष्टो विषीदन्निदमब्रवीत् |
अर्जुन उवाच |
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ||१-२८||","Arjuna said: My dear Kṛṣṇa, seeing my friends and relatives present before me in such a fighting spirit, I feel the limbs of my body quivering and my mouth drying up."
Gita,1.29,"सीदन्ति मम गात्राणि मुखं च परिशुष्यति |
वेपथुश्च शरीरे मे रोमहर्षश्च जायते ||१-२९||","My whole body is trembling, my hair is standing on end, my bow Gāṇḍīva is slipping from my hand, and my skin is burning."
Gita,1.30,"गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |
न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः ||१-३०||","I am now unable to stand here any longer. I am forgetting myself, and my mind is reeling. I see only causes of misfortune, O Kṛṣṇa, killer of the Keśī demon."
Gita,1.31,"निमित्तानि च पश्यामि विपरीतानि केशव |
न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ||१-३१||","I do not see how any good can come from killing my own kinsmen in this battle, nor can I, my dear Kṛṣṇa, desire any subsequent victory, kingdom or happiness."
Gita,1.32,"न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |
किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ||१-३२||","O Govinda, of what avail to us are a kingdom, happiness or even life itself"
Gita,1.33,"येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |
त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ||१-३३||",when all those for whom we may desire them are now arrayed on this battlefield?
Gita,1.34,"आचार्याः पितरः पुत्रास्तथैव च पितामहाः |
मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ||१-३४||","O Madhusudana, when teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives are ready to give up their lives and properties and are standing before me,"
Gita,1.35,"एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |
अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ||१-३५||","why should I wish to kill them, even though they might otherwise kill me? O maintainer of all living entities, I am not prepared to fight with them even in exchange for the three worlds, let alone this earth. What pleasure will we derive from killing the sons of Dhritarashtra?"
Gita,1.36,"निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |
पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः ||१-३६||","Sin will overcome us if we slay such aggressors. Therefore it is not proper for us to kill the sons of Dhṛtarāṣṭra and our friends. What should we gain, O Kṛṣṇa, husband of the goddess of fortune, and how could we be happy by killing our own kinsmen?"
Gita,1.37,"तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |
स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ||१-३७||","O Janardana, although these men, overtaken by greed, see no fault in killing one's family or quarreling with friends, why should we, who can see the crime in destroying a family, engage in these acts of sin?"
Gita,1.38,"यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |
कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ||१-३८||","O Madhava, why should we, who can see the crime in destroying a family, engage in these acts of sin? With the destruction of the dynasty, the eternal family tradition is vanquished, and thus the rest of the family becomes involved in irreligion."
Gita,1.39,"कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् |
कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन ||१-३९||","With the destruction of the dynasty, the eternal family tradition is vanquished, and thus the rest of the family becomes involved in irreligion."
Gita,1.40,"कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः |
धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ||१-४०||","When irreligion is prominent in the family, O Kṛṣṇa, the women of the family become polluted, and from the degradation of womanhood, O descendant of Vṛṣṇi, comes unwanted progeny."
Gita,1.41,"अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |
स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः ||१-४१||","An increase of unwanted population certainly causes hellish life both for the family and for those who destroy the family tradition. The ancestors of such corrupt families fall down, because the performances for offering them food and water are entirely stopped."
Gita,1.42,"सङ्करो नरकायैव कुलघ्नानां कुलस्य च |
पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ||१-४२||","By the evil deeds of those who destroy the family tradition and thus give rise to unwanted children, all kinds of community projects and family welfare activities are devastated."
Gita,1.43,"दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः |
उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ||१-४३||","O Kṛṣṇa, maintainer of the people, I have heard by disciplic succession that those whose family traditions are destroyed dwell always in hell."
Gita,1.44,"उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |
नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) ||१-४४||","Alas, how strange it is that we are preparing to commit greatly sinful acts. Driven by the desire to enjoy royal happiness, we are intent on killing our own kinsmen."
Gita,1.45,"अहो बत महत्पापं कर्तुं व्यवसिता वयम् |
यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ||१-४५||","Better for me if the sons of Dhṛtarāṣṭra, weapons in hand, were to kill me unarmed and unresisting on the battlefield."
Gita,1.46,"यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |
धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ||१-४६||","Sañjaya said: Arjuna, having thus spoken on the battlefield, cast aside his bow and arrows and sat down on the chariot, his mind overwhelmed with grief."
Gita,2.1,"सञ्जय उवाच |
तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् |
विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ||२-१||","Sañjaya said: Seeing Arjuna full of compassion, his mind depressed, his eyes full of tears, Madhusūdana, Kṛṣṇa, spoke the following words."
Gita,2.2,"श्रीभगवानुवाच |
कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् |
अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन ||२-२||","The Supreme Personality of Godhead said: My dear Arjuna, how have these impurities come upon you? They are not at all befitting a man who knows the value of life. They lead not to higher planets but to infamy."
Gita,2.3,"क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते |
क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ||२-३||","O son of Pṛthā, do not yield to this degrading impotence. It does not become you. Give up such petty weakness of heart and arise, O chastiser of the enemy."
Gita,2.4,"अर्जुन उवाच |
कथं भीष्ममहं सङ्ख्ये द्रोणं च मधुसूदन |
इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ||२-४||","Arjuna said: O killer of enemies, O killer of Madhu, how can I counterattack with arrows in battle men like Bhīṣma and Droṇa, who are worthy of my worship?"
Gita,2.5,"गुरूनहत्वा हि महानुभावान्
श्रेयो भोक्तुं भैक्ष्यमपीह लोके |
हत्वार्थकामांस्तु गुरूनिहैव
भुञ्जीय भोगान् रुधिरप्रदिग्धान् ||२-५||","It would be better to live in this world by begging than to live at the cost of the lives of great souls who are my teachers. Even though desiring worldly gain, they are superiors. If they are killed, everything we enjoy will be tainted with blood."
Gita,2.6,"न चैतद्विद्मः कतरन्नो गरीयो
यद्वा जयेम यदि वा नो जयेयुः |
यानेव हत्वा न जिजीविषामस्-
तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ||२-६||","Nor do we know which is better – conquering them or being conquered by them. If we killed the sons of Dhṛtarāṣṭra, we should not care to live. Yet they are now standing before us on the battlefield."
Gita,2.7,"कार्पण्यदोषोपहतस्वभावः
पृच्छामि त्वां धर्मसम्मूढचेताः |
यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे
शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ||२-७||","Now I am confused about my duty and have lost all composure because of miserly weakness. In this condition I am asking You to tell me for certain what is best for me. Now I am Your disciple, and a soul surrendered unto You. Please instruct me."
Gita,2.8,"न हि प्रपश्यामि ममापनुद्याद्
यच्छोकमुच्छोषणमिन्द्रियाणाम् |
अवाप्य भूमावसपत्नमृद्धं
राज्यं सुराणामपि चाधिपत्यम् ||२-८||","I can find no means to drive away this grief which is drying up my senses. I will not be able to dispel it even if I win a prosperous, unrivaled kingdom on earth with sovereignty like the demigods in heaven."
Gita,2.9,"सञ्जय उवाच |
एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तप |
न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह ||२-९||","Sañjaya said: Having spoken thus, Arjuna, chastiser of enemies, told Kṛṣṇa, “Govinda, I shall not fight,” and fell silent."
Gita,2.10,"तमुवाच हृषीकेशः प्रहसन्निव भारत |
सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः ||२-१०||","O descendant of Bharata, at that time Kṛṣṇa, smiling, in the midst of both the armies, spoke the following words to the grief-stricken Arjuna."
Gita,2.11,"श्रीभगवानुवाच |
अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे |
गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः ||२-११||","The Supreme Personality of Godhead said: While speaking learned words, you are mourning for what is not worthy of grief. Those who are wise lament neither for the living nor for the dead."
Gita,2.12,"न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः |
न चैव न भविष्यामः सर्वे वयमतः परम् ||२-१२||","Never was there a time when I did not exist, nor you, nor all these kings; nor in the future shall any of us cease to be."
Gita,2.13,"देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा |
तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति ||२-१३||","As the embodied soul continuously passes, in this body, from boyhood to youth to old age, the soul similarly passes into another body at death. A sober person is not bewildered by such a change."
Gita,2.14,"मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः |
आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत ||२-१४||","O son of Kuntī, the nonpermanent appearance of happiness and distress, and their disappearance in due course, are like the appearance and disappearance of winter and summer seasons. They arise from sense perception, O scion of Bharata, and one must learn to tolerate them without being disturbed."
Gita,2.15,"यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ |
समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते ||२-१५||","O best among men [Arjuna], the person who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation."
Gita,2.16,"नासतो विद्यते भावो नाभावो विद्यते सतः |
उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः ||२-१६||",Those who are seers of the truth have concluded that of the nonexistent [the material body] there is no endurance and of the eternal [the soul] there is no change. This they have concluded by studying the nature of both.
Gita,2.17,"अविनाशि तु तद्विद्धि येन सर्वमिदं ततम् |
विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति ||२-१७||",That which pervades the entire body you should know to be indestructible. No one is able to destroy that imperishable soul.
Gita,2.18,"अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः |
अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत ||२-१८||","The material body of the indestructible, immeasurable and eternal living entity is sure to come to an end; therefore, fight, O descendant of Bharata."
Gita,2.19,"य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् |
उभौ तौ न विजानीतो नायं हन्ति न हन्यते ||२-१९||","Neither he who thinks the living entity the slayer nor he who thinks it slain is in knowledge, for the self slays not nor is slain."
Gita,2.20,"न जायते म्रियते वा कदाचिन्
नायं भूत्वा भविता वा न भूयः |
अजो नित्यः शाश्वतोऽयं पुराणो
न हन्यते हन्यमाने शरीरे ||२-२०||","For the soul there is neither birth nor death at any time. He has not come into being, does not come into being, and will not come into being. He is unborn, eternal, ever-existing and primeval. He is not slain when the body is slain."
Gita,2.21,"वेदाविनाशिनं नित्यं य एनमजमव्ययम् |
कथं स पुरुषः पार्थ कं घातयति हन्ति कम् ||२-२१||","O Pārtha, how can a person who knows that the soul is indestructible, eternal, unborn and immutable kill anyone or cause anyone to kill?"
Gita,2.22,"वासांसि जीर्णानि यथा विहाय
नवानि गृह्णाति नरोऽपराणि |
तथा शरीराणि विहाय जीर्णा-
न्यन्यानि संयाति नवानि देही ||२-२२||","As a person puts on new garments, giving up old ones, the soul similarly accepts new material bodies, giving up the old and useless ones."
Gita,2.23,"नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः |
न चैनं क्लेदयन्त्यापो न शोषयति मारुतः ||२-२३||","The soul can never be cut to pieces by any weapon, nor burned by fire, nor moistened by water, nor withered by the wind."
Gita,2.24,"अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च |
नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः ||२-२४||","This individual soul is unbreakable and insoluble, and can be neither burned nor dried. He is everlasting, present everywhere, unchangeable, immovable and eternally the same."
Gita,2.25,"अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते |
तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि ||२-२५||","It is said that the soul is invisible, inconceivable and immutable. Knowing this, you should not grieve for the body."
Gita,2.26,"अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम् |
तथापि त्वं महाबाहो नैवं शोचितुमर्हसि ||२-२६||","If, however, you think that the soul [or the symptoms of life] will always be born and die forever, you still have no reason to lament, O mighty-armed."
Gita,2.27,"जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च |
तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि ||२-२७||","One who has taken his birth is sure to die, and after death one is sure to take birth again. Therefore, in the unavoidable discharge of your duty, you should not lament."
Gita,2.28,"अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत |
अव्यक्तनिधनान्येव तत्र का परिदेवना ||२-२८||","All created beings are unmanifest in their beginning, manifest in their interim state, and unmanifest again when annihilated. So what need is there for lamentation?"
Gita,2.29,"आश्चर्यवत्पश्यति कश्चिदेन-
माश्चर्यवद्वदति तथैव चान्यः |
आश्चर्यवच्चैनमन्यः शृणोति
श्रुत्वाप्येनं वेद न चैव कश्चित् ||२-२९||","Some look on the soul as amazing, some describe him as amazing, and some hear of him as amazing, while others, even after hearing about him, cannot understand him at all."
Gita,2.30,"देही नित्यमवध्योऽयं देहे सर्वस्य भारत |
तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि ||२-३०||","O descendant of Bharata, he who dwells in the body can never be slain. Therefore you need not grieve for any living being."
Gita,2.31,"स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि |
धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते ||२-३१||","Considering your specific duty as a kṣatriya, you should know that there is no better engagement for you than fighting on religious principles; and so there is no need for hesitation."
Gita,2.32,"यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् |
सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् ||२-३२||","O Pārtha, happy are the kṣatriyas to whom such fighting opportunities come unsought, opening for them the doors of the heavenly planets."
Gita,2.33,"अथ चेत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि |
ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि ||२-३३||","If, however, you do not perform your religious duty of fighting, then you will certainly incur sins for neglecting your duties and thus lose your reputation as a fighter."
Gita,2.34,"अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् |
सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते ||२-३४||","People will always speak of your infamy, and for a respectable person, dishonor is worse than death."
Gita,2.35,"भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः |
येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् ||२-३५||","The great generals who have highly esteemed your name and fame will think that you have left the battlefield out of fear only, and thus they will consider you insignificant."
Gita,2.36,"अवाच्यवादांश्च बहून्वदिष्यन्ति तवाहिताः |
निन्दन्तस्तव सामर्थ्यं ततो दुःखतरं नु किम् ||२-३६||",Your enemies will describe you in many unkind words and scorn your ability. What could be more painful for you?
Gita,2.37,"हतो वा प्राप्स्यसि स्वर्गं जित्वा वा भोक्ष्यसे महीम् |
तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः ||२-३७||","O son of Kuntī, either you will be killed on the battlefield and attain the heavenly planets, or you will conquer and enjoy the earthly kingdom. Therefore, get up with determination and fight."
Gita,2.38,"सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ |
ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि ||२-३८||","Do thou fight for the sake of fighting, without considering happiness or distress, loss or gain, victory or defeat – and by so doing you shall never incur sin."
Gita,2.39,"एषा तेऽभिहिता साङ्ख्ये बुद्धिर्योगे त्विमां शृणु |
बुद्ध्या युक्तो यया पार्थ कर्मबन्धं प्रहास्यसि ||२-३९||","Thus far I have described this knowledge to you through analytical study. Now listen as I explain it in terms of working without fruitive results. O son of Pṛthā, when you act in such knowledge you can free yourself from the bondage of works."
Gita,2.40,"नेहाभिक्रमनाशोऽस्ति प्रत्यवायो न विद्यते |
स्वल्पमप्यस्य धर्मस्य त्रायते महतो भयात् ||२-४०||","In this endeavor there is no loss or diminution, and a little advancement on this path can protect one from the most dangerous type of fear."
Gita,2.41,"व्यवसायात्मिका बुद्धिरेकेह कुरुनन्दन |
बहुशाखा ह्यनन्ताश्च बुद्धयोऽव्यवसायिनाम् ||२-४१||","Those who are on this path are resolute in purpose, and their aim is one. O beloved child of the Kurus, the intelligence of those who are irresolute is many-branched."
Gita,2.42,"यामिमां पुष्पितां वाचं प्रवदन्त्यविपश्चितः |
वेदवादरताः पार्थ नान्यदस्तीति वादिनः ||२-४२||","Men of small knowledge are very much attached to the flowery words of the Vedas, which recommend various fruitive activities for elevation to heavenly planets, resultant good birth, power, and so forth."
Gita,2.43,"कामात्मानः स्वर्गपरा जन्मकर्मफलप्रदाम् |
क्रियाविशेषबहुलां भोगैश्वर्यगतिं प्रति ||२-४३||","Being desirous of sense gratification and opulent life, they say that there is nothing more than this."
Gita,2.44,"भोगैश्वर्यप्रसक्तानां तयापहृतचेतसाम् |
व्यवसायात्मिका बुद्धिः समाधौ न विधीयते ||२-४४||","In the minds of those who are too attached to sense enjoyment and material opulence, and who are bewildered by such things, the resolute determination for devotional service to the Supreme Lord does not take place."
Gita,2.45,"त्रैगुण्यविषया वेदा निस्त्रैगुण्यो भवार्जुन |
निर्द्वन्द्वो नित्यसत्त्वस्थो निर्योगक्षेम आत्मवान् ||२-४५||","The Vedas deal mainly with the subject of the three modes of material nature. O Arjuna, become transcendental to these three modes. Be free from all dualities and from all anxieties for gain and safety, and be established in the self."
Gita,2.46,"यावानर्थ उदपाने सर्वतः सम्प्लुतोदके |
तावान्सर्वेषु वेदेषु ब्राह्मणस्य विजानतः ||२-४६||","All purposes served by a small well can at once be served by a great reservoir of water. Similarly, all the purposes of the Vedas can be served to one who knows the purpose behind them."
Gita,2.47,"कर्मण्येवाधिकारस्ते मा फलेषु कदाचन |
मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि ||२-४७||","You have a right to perform your prescribed duty, but you are not entitled to the fruits of action. Never consider yourself the cause of the results of your activities, and never be attached to not doing your duty."
Gita,2.48,"योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय |
सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते ||२-४८||","Perform your duty equipoised, O Arjuna, abandoning all attachment to success or failure. Such equanimity is called yoga."
